Age,Rating,Order Status,Total Price,Unit Price,Quantity,Gender_Male,Loyalty Member_Yes,Product Type_Laptop,Product Type_Smartphone,Product Type_Smartwatch,Product Type_Tablet,Payment Method_Cash,Payment Method_Credit Card,Payment Method_Debit Card,Payment Method_PayPal,Payment Method_Paypal,Shipping Type_Express,Shipping Type_Overnight,Shipping Type_Same Day,Shipping Type_Standard
64,3,1,1139.68,1139.68,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
74,2,1,4720.24,674.32,7,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
46,5,0,207.5,20.75,10,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True
48,3,1,1482.18,247.03,6,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True
32,5,1,5504.87,786.41,7,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
20,5,0,1838.0,459.5,4,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
60,5,1,5698.4,1139.68,5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
64,1,0,4558.72,1139.68,4,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
61,3,1,463.96,463.96,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
28,5,0,145.25,20.75,7,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
18,3,1,2470.3,247.03,10,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
24,3,1,786.41,786.41,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
72,1,1,4720.24,674.32,7,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
71,4,1,919.0,459.5,2,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
59,2,1,2373.57,791.19,3,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
51,2,1,2022.96,674.32,3,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
63,2,1,2297.5,459.5,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
69,4,1,4135.5,459.5,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
71,3,0,247.03,247.03,1,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
43,2,1,7077.69,786.41,9,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
59,3,0,3419.04,1139.68,3,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
71,2,1,1444.72,361.18,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
67,3,1,1855.84,463.96,4,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
76,3,0,1235.15,247.03,5,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
37,3,1,919.0,459.5,2,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
75,1,1,3676.0,459.5,8,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
18,1,1,7077.69,786.41,9,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
80,2,0,2022.96,674.32,3,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
23,4,0,1378.5,459.5,3,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
31,3,0,722.36,361.18,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
49,3,1,3379.32,844.83,4,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False
74,3,1,988.12,247.03,4,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
44,3,1,927.92,463.96,2,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
36,3,0,4135.5,459.5,9,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
50,3,0,741.09,247.03,3,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
23,5,0,20.75,20.75,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
65,2,0,2373.57,791.19,3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
46,2,0,3371.6,674.32,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
60,5,0,722.36,361.18,2,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
25,5,1,145.25,20.75,7,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
48,5,0,41.5,20.75,2,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
67,4,0,9117.44,1139.68,8,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
52,3,0,3247.72,463.96,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
43,3,0,1139.68,1139.68,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
74,1,1,6068.88,674.32,9,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
39,5,1,83.0,20.75,4,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
25,3,1,7603.47,844.83,9,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
80,5,1,166.0,20.75,8,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
61,3,0,1482.18,247.03,6,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
31,1,0,5394.56,674.32,8,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
21,4,1,11396.8,1139.68,10,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
66,5,1,5698.4,1139.68,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
22,3,0,988.12,247.03,4,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
33,2,0,9117.44,1139.68,8,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
79,4,0,4135.5,459.5,9,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
62,2,0,2528.26,361.18,7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
46,5,1,83.0,20.75,4,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
53,3,1,6758.64,844.83,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
38,3,0,3379.32,844.83,4,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True
59,5,1,2889.44,361.18,8,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
57,1,0,3419.04,1139.68,3,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
18,1,0,3216.5,459.5,7,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
38,1,1,361.18,361.18,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
33,2,1,2022.96,674.32,3,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False
72,2,0,1582.38,791.19,2,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
57,2,1,4720.24,674.32,7,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
76,1,0,3371.6,674.32,5,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True
71,2,1,2373.57,791.19,3,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
33,3,1,2319.8,463.96,5,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
35,3,0,741.09,247.03,3,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
62,3,1,844.83,844.83,1,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
29,5,0,145.25,20.75,7,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
51,5,1,2889.44,361.18,8,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
43,3,1,1689.66,844.83,2,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
42,2,0,7077.69,786.41,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
72,1,0,6291.28,786.41,8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
21,3,1,1083.54,361.18,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
18,4,0,674.32,674.32,1,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
38,3,0,7603.47,844.83,9,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
68,1,1,3419.04,1139.68,3,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True
44,1,1,7864.1,786.41,10,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
71,5,1,4135.5,459.5,9,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
65,5,1,6291.28,786.41,8,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
19,3,1,5068.98,844.83,6,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
39,1,0,5504.87,786.41,7,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
51,4,0,7977.76,1139.68,7,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
38,3,1,2889.44,361.18,8,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
53,2,1,7120.71,791.19,9,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True
62,2,1,2757.0,459.5,6,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
30,2,0,6329.52,791.19,8,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
27,2,1,7120.71,791.19,9,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
19,5,0,20.75,20.75,1,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
78,2,0,5394.56,674.32,8,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
67,3,1,4595.0,459.5,10,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
49,4,1,3216.5,459.5,7,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
37,3,0,1444.72,361.18,4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
38,1,1,3611.8,361.18,10,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
80,3,1,2319.8,463.96,5,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False
56,3,0,494.06,247.03,2,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False
79,4,1,2297.5,459.5,5,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
24,2,0,791.19,791.19,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
47,3,1,1482.18,247.03,6,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
77,2,0,3164.76,791.19,4,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
60,3,1,11396.8,1139.68,10,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
26,5,0,919.0,459.5,2,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
43,1,1,6838.08,1139.68,6,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
50,3,1,4558.72,1139.68,4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
37,2,0,2889.44,361.18,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
50,3,0,3371.6,674.32,5,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
77,5,0,41.5,20.75,2,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
33,2,1,7911.9,791.19,10,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
62,3,1,2783.76,463.96,6,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
78,2,0,2022.96,674.32,3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
68,3,1,927.92,463.96,2,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
43,5,0,1378.5,459.5,3,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False
63,5,0,1838.0,459.5,4,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
37,2,1,7911.9,791.19,10,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
22,2,1,1582.38,791.19,2,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
21,1,1,3216.5,459.5,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
59,5,1,674.32,674.32,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
45,5,0,1838.0,459.5,4,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
58,3,1,463.96,463.96,1,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
42,5,1,83.0,20.75,4,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
21,2,0,7911.9,791.19,10,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
37,2,1,791.19,791.19,1,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False
39,4,1,1348.64,674.32,2,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
73,1,1,2022.96,674.32,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
79,5,1,103.75,20.75,5,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
49,3,0,494.06,247.03,2,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
48,3,0,2319.8,463.96,5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
23,2,1,3611.8,361.18,10,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
43,3,1,988.12,247.03,4,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
77,5,0,6068.88,674.32,9,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
64,5,0,62.25,20.75,3,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
27,3,0,1855.84,463.96,4,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
54,1,0,361.18,361.18,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
67,4,1,361.18,361.18,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
71,3,1,1729.21,247.03,7,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
20,1,1,919.0,459.5,2,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
27,3,0,1689.66,844.83,2,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
50,3,1,741.09,247.03,3,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
24,1,1,3676.0,459.5,8,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
53,5,1,4045.92,674.32,6,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
51,3,0,786.41,786.41,1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
26,2,1,3371.6,674.32,5,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
42,4,0,2359.23,786.41,3,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
68,3,0,2470.3,247.03,10,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
61,3,0,1805.9,361.18,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,3,0,3379.32,844.83,4,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
62,2,1,722.36,361.18,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21,2,0,6291.28,786.41,8,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
61,2,1,7120.71,791.19,9,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
77,5,1,4045.92,674.32,6,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
72,3,1,988.12,247.03,4,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
27,4,0,5504.87,786.41,7,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
58,2,1,7911.9,791.19,10,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
46,2,0,6291.28,786.41,8,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False
31,5,1,4135.5,459.5,9,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
57,5,0,83.0,20.75,4,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
68,2,0,3955.95,791.19,5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
28,1,0,3419.04,1139.68,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
37,2,1,3164.76,791.19,4,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
29,5,0,20.75,20.75,1,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
68,2,1,7120.71,791.19,9,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
66,3,0,3247.72,463.96,7,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
63,5,0,166.0,20.75,8,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False
31,4,0,3611.8,361.18,10,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False
34,4,1,1139.68,1139.68,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,4,0,6291.28,786.41,8,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
73,3,1,844.83,844.83,1,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
78,2,0,3955.95,791.19,5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
31,5,1,62.25,20.75,3,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
47,5,0,186.75,20.75,9,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
72,2,1,1348.64,674.32,2,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
32,2,1,1378.5,459.5,3,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
43,3,1,988.12,247.03,4,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True
40,3,0,5698.4,1139.68,5,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
51,4,1,6838.08,1139.68,6,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
77,5,0,145.25,20.75,7,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
27,2,0,1378.5,459.5,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
18,1,0,3216.5,459.5,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
34,2,1,919.0,459.5,2,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False
38,2,0,6743.2,674.32,10,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
32,2,0,7120.71,791.19,9,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
26,3,1,5698.4,1139.68,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36,5,0,207.5,20.75,10,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True
72,3,1,3611.8,361.18,10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
52,3,0,5913.81,844.83,7,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
67,5,1,124.5,20.75,6,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
23,3,1,2528.26,361.18,7,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
58,4,0,1378.5,459.5,3,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
53,2,1,1582.38,791.19,2,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False
73,2,0,722.36,361.18,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
62,2,0,6329.52,791.19,8,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
35,3,1,4224.15,844.83,5,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
50,3,1,247.03,247.03,1,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
32,3,0,4639.6,463.96,10,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
35,4,0,4718.46,786.41,6,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
54,3,0,1689.66,844.83,2,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
23,3,1,927.92,463.96,2,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
48,4,0,786.41,786.41,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
31,4,0,3371.6,674.32,5,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
25,2,1,5538.33,791.19,7,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
21,3,1,494.06,247.03,2,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
45,3,1,10257.12,1139.68,9,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
26,1,1,6291.28,786.41,8,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
43,3,0,2783.76,463.96,6,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
43,5,1,1378.5,459.5,3,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
74,5,0,2022.96,674.32,3,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
53,2,1,3932.05,786.41,5,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
20,3,1,1482.18,247.03,6,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True
25,5,1,10257.12,1139.68,9,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
39,5,0,9117.44,1139.68,8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
77,1,0,3676.0,459.5,8,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
78,2,1,3250.62,361.18,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
48,4,0,3676.0,459.5,8,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
25,2,0,1582.38,791.19,2,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
49,2,1,4045.92,674.32,6,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
69,3,0,988.12,247.03,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
47,4,0,6838.08,1139.68,6,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
62,4,1,4558.72,1139.68,4,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
29,3,1,2470.3,247.03,10,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
28,4,1,7864.1,786.41,10,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
55,1,1,1378.5,459.5,3,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
42,3,0,1139.68,1139.68,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
76,3,0,1689.66,844.83,2,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
44,3,1,1391.88,463.96,3,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
41,3,0,2534.49,844.83,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
72,3,0,1689.66,844.83,2,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
27,3,1,927.92,463.96,2,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
51,5,0,1572.82,786.41,2,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
41,5,1,124.5,20.75,6,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
67,3,0,7603.47,844.83,9,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
